Condition|Variant
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. 5 years of age or older. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial imaging.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. With one or more clinical signs concerning for septic arthritis. Initial radiographs normal or demonstrating possible joint effusion. Next imaging study.
Osteomyelitis or Septic Arthritis-Child (Excluding Axial Skeleton)|Child. Younger than 5 years of age. Concern for osteomyelitis or septic arthritis involving an extremity. Initial radiographs normal, or with findings suggestive of osteomyelitis. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteonecrosis|Known osteonecrosis with articular collapse by radiographs. Surgery planned. Next imaging study.
Osteonecrosis|Clinically suspected osteonecrosis. Initial imaging.
Osteonecrosis|Clinically suspected osteonecrosis. Normal radiographs or radiographs that show findings suspicious for osteonecrosis. Next imaging study.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging of patients demonstrated to have risk for fracture or surveillance of established low bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Initial imaging for premenopausal females or males less than 50 years of age. Individual with risk factors that could alter bone mineral density.
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Premenopausal females with risk factors. Males less than 50 years of age with risk factors. Follow-up to low bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Osteoporosis screening or initial imaging of clinically suspected low bone mineral density.
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Osteoporosis and Bone Mineral Density|Males and females greater than or equal to 50 years of age. Suspected osteoporosis. Advanced degenerative changes of the spine with or without scoliosis, or other conditions that may spuriously elevate BMD. Initial imaging.
Osteoporosis and Bone Mineral Density|Follow-up imaging. Patients with T-scores less than −1.0 (by DXA) and one or more of the following
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. Average risk.
Ovarian Cancer Screening|Ovarian cancer screening. Premenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Ovarian Cancer Screening|Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or known or suspected genetic predisposition or elevated CA-125).
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Abdominal Mass-Suspected Neoplasm|Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings probably benign (BI-RADS 3). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings benign (BI-RADS 2). Next imaging study.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are benign (BI-RADS 2) at the site of palpable mass. Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings probably benign (BI-RADS 3). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are benign (BI-RADS 2) at the site of palpable mass. Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are benign (BI-RADS 2) at the site of palpable mass. Next imaging study.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are benign (BI-RADS 2) at the site of palpable mass. Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings probably benign (BI-RADS 3). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are benign (BI-RADS 2) at the site of palpable mass. Next imaging study.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Mammography findings are negative (BI-RADS 1). Next imaging study.
Palpable Breast Masses|Adult female, 40 years of age or older. Palpable breast mass. Diagnostic mammography, DBT, and US findings are probably benign (BI-RADS 3). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings probably benign (BI-RADS 3). Next imaging study.
Palpable Breast Masses|Adult female, 30 to 39 years of age. Palpable breast mass. Initial imaging.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. US findings are suspicious or highly suggestive of malignancy (BI-RADS 4 or 5). Next imaging study.
Palpable Breast Masses|Adult female, younger than 30 years of age. Palpable breast mass. Initial imaging.
